accident_no,accident_date,accident_time,day_week_desc,accident_type_desc,severity,speed_zone,rma,road_geometry_desc,lga_name,latitude,longitude,postcode_crash,age_group,sex,inj_level_desc,no_persons_killed,no_persons_inj_2,no_persons_inj_3,year,month,severity_desc
T20120019498,2012-08-26,12:20:00,Sunday,Fall from or in moving vehicle,3,40,Arterial Other,Not at intersection,MORELAND,-37.77629,144.96057,3056,30-39,F,Other injury,0,0,1,2012,8,Other Injury
T20120019782,2012-07-26,06:30:00,Thursday,No collision and no object struck,3,60,Arterial Other,T intersection,WYNDHAM,-37.87579,144.73735,3030,40-49,M,Other injury,0,0,1,2012,7,Other Injury
T20230005270,2023-03-05,07:25:00,Sunday,Collision with vehicle,3,40,Local Road,Cross intersection,MELBOURNE,-37.821014,144.94743,3008,50-59,M,Other injury,0,0,1,2023,3,Other Injury
T20210011907,2021-05-26,17:45:00,Wednesday,Collision with vehicle,3,40,Local Road,Not at intersection,PORT PHILLIP,-37.856827,144.98645,3182,40-49,F,Other injury,0,0,1,2021,5,Other Injury
T20220009311,2022-04-06,18:05:00,Wednesday,Collision with vehicle,3,60,Local Road,Not at intersection,KINGSTON,-37.941093,145.10133,3169,50-59,M,Other injury,0,0,1,2022,4,Other Injury
T20150019360,2015-09-17,17:45:00,Thursday,Collision with vehicle,2,80,Arterial Highway,Not at intersection,GLEN EIRA,-37.89949,145.00638,3185,50-59,F,Serious injury,0,1,0,2015,9,Serious Injury
T20140008296,2014-04-22,16:30:00,Tuesday,Collision with vehicle,3,60,Arterial Other,T intersection,BOROONDARA,-37.829617,145.05702,3124,22-25,F,Other injury,0,0,1,2014,4,Other Injury
T20220009319,2022-04-26,18:24:00,Tuesday,Collision with vehicle,3,60,Arterial Other,T intersection,PORT PHILLIP,-37.836536,144.96956,3205,26-29,M,Other injury,0,0,1,2022,4,Other Injury
T20250006911,2025-03-13,12:00:00,Thursday,Collision with vehicle,2,50,Arterial Other,Cross intersection,YARRA,-37.815895,144.99966,3121,18-21,F,Serious injury,0,1,0,2025,3,Serious Injury
T20130026935,2013-12-31,14:30:00,Tuesday,Collision with vehicle,3,50,Local Road,Cross intersection,MORNINGTON PENINSULA,-38.22147,145.03813,3931,65-69,M,Other injury,0,0,1,2013,12,Other Injury
T20210008316,2021-04-13,11:30:00,Tuesday,Collision with vehicle,2,40,Local Road,Cross intersection,YARRA,-37.800163,144.98718,3066,30-39,M,Serious injury,0,1,0,2021,4,Serious Injury
T20180015567,2018-08-17,14:00:00,Friday,Collision with vehicle,3,40,Local Road,Not at intersection,STONNINGTON,-37.84236,144.99504,3141,40-49,M,Other injury,0,0,1,2018,8,Other Injury
T20240007048,2024-03-15,22:30:00,Friday,Collision with vehicle,3,40,Local Road,Cross intersection,YARRA,-37.80611,144.9806,3065,40-49,M,Other injury,0,0,1,2024,3,Other Injury
T20210018880,2021-09-08,17:15:00,Wednesday,Collision with vehicle,3,50,Arterial Other,Not at intersection,MONASH,-37.920418,145.18668,3150,5-12,M,Other injury,0,0,2,2021,9,Other Injury
T20190016863,2019-09-02,08:35:00,Monday,Collision with vehicle,3,40,Arterial Other,Not at intersection,GLEN EIRA,-37.92283,145.07236,3165,5-12,M,Other injury,0,0,1,2019,9,Other Injury
T20240028300,2024-11-07,08:08:00,Thursday,Collision with vehicle,3,40,Local Road,Not at intersection,MELBOURNE,-37.802803,144.9696,3053,50-59,M,Other injury,0,0,1,2024,11,Other Injury
T20170021106,2017-11-05,15:10:00,Sunday,Collision with vehicle,3,50,Local Road,T intersection,BRIMBANK,-37.720695,144.8568,3042,50-59,M,Other injury,0,0,1,2017,11,Other Injury
T20250009362,2025-04-07,11:30:00,Monday,Collision with vehicle,2,60,Arterial Highway,Not at intersection,YARRA,-37.796738,144.99348,3067,40-49,M,Serious injury,0,1,0,2025,4,Serious Injury
T20200004715,2020-02-23,11:45:00,Sunday,Collision with vehicle,3,60,Arterial Other,T intersection,MOONEE VALLEY,-37.736027,144.88907,3042,30-39,M,Other injury,0,0,1,2020,2,Other Injury
T20160007712,2016-04-08,16:00:00,Friday,Collision with vehicle,3,40,Local Road,T intersection,MELBOURNE,-37.814434,144.97015,3000,30-39,M,Other injury,0,0,1,2016,4,Other Injury
T20190003801,2019-02-12,08:30:00,Tuesday,Collision with vehicle,3,40,Local Road,Cross intersection,HOBSONS BAY,-37.829586,144.88428,3015,30-39,M,Other injury,0,0,1,2019,2,Other Injury
